Iteration,Time,p0_x,p0_y,p0_z,p0_vx,p0_vy,p0_vz,p0_fx,p0_fy,p0_fz
0,0,16,16,16,-0.001,0,0,0.402443796305214,0,0
1,1,16.001,16,16,0.001,0,0,-0.71701888532382,1.07789243877295e-16,4.33318878876281e-15
2,2,16.0039990131207,16,16,0.00299901312073146,0,0,-0.890799778564727,1.63646810408156e-15,-2.55551706306084e-16
3,3,16.0089940796983,16,16,0.00499506657758801,0,0,-1.10458687523476,1.25837390459982e-15,1.24898396204436e-15
4,4,16.0159802702051,16,16,0.00698619050679417,0,0,-1.20898522053345,-9.89664401725978e-16,8.18039009469786e-17
5,5,16.0249506901145,16,16,0.00897041990942312,0,0,-1.31734017853729,6.3250914786794e-17,-1.85440076109437e-16
6,6,16.0358964867052,16,16,0.0109457965906134,0,0,-1.41552986075135,-7.77124565260324e-16,-6.59609967015341e-16
7,7,16.0488068577972,16,16,0.0129103710920708,0,0,-1.52266505478215,-1.11542041878951e-15,-1.70550083929653e-16
8,8,16.0636690624132,16,16,0.0148622046159483,0,0,-1.62191218413608,-6.15183512448327e-16,1.07242841451867e-15
9,9,16.0804684333514,16,16,0.0167993709382055,0,0,-1.71720581743085,-1.03465032155465e-15,1.31885062766568e-15
10,10,16.0991883916609,16,16,0.0187199583095594,0,0,-1.79557818664163,-1.42228690305259e-16,-4.18102239028301e-16
11,11,16.1198104630031,16,16,0.0206220713421497,0,0,-1.85935318670478,3.33307464744567e-17,-4.1324365804285e-16
12,12,16.1423142958831,16,16,0.0225038328800582,0,0,-1.91256301568276,-3.65996160245005e-16,-1.87648291002929e-16
13,13,16.166677681735,16,16,0.0243633858518347,0,0,-1.95568207015193,4.5598239946246e-16,3.999011950577e-16
14,14,16.1928765768382,16,16,0.0261988951032026,0,0,-1.98822127700212,-1.02414753652517e-16,-1.28956361648142e-15
15,15,16.2208851260463,16,16,0.0280085492081347,0,0,-2.00829792132136,1.63902569359602e-16,-9.33172809858274e-16
16,16,16.2506756883028,16,16,0.0297905622565114,0,0,-2.02469936693996,1.84877985045639e-15,-1.01447442026753e-16
17,17,16.2822188639194,16,16,0.0315431756165991,0,0,-2.02207920333055,2.13296618052378e-15,1.50568576703924e-16
18,18,16.31548352359,16,16,0.033264659670607,0,0,-2.01556781337462,7.23782877165222e-16,-3.19141685734686e-16
19,19,16.3504368391116,16,16,0.0349533155216111,0,0,-2.00296346173504,6.68688466144013e-16,-5.01585806309685e-16
20,20,16.3870443157818,16,16,0.0366074766701602,0,0,-1.99304792568901,-6.61556448728132e-16,2.59632538992388e-16
21,21,16.4252698264407,16,16,0.0382255106589101,0,0,-1.98484550728849,1.58425654322655e-16,-5.53803693442018e-16
22,22,16.4650756471244,16,16,0.0398058206836615,0,0,-1.97285721818421,1.43659498359761e-15,-3.93978740690498e-16
23,23,16.5064224942936,16,16,0.041346847169213,0,0,-1.95659417836545,6.46614787538566e-16,-1.23285984286042e-15
24,24,16.5492695636021,16,16,0.042847069308474,0,0,-1.94503892254455,-9.55236324068354e-16,3.51715184754298e-16
25,25,16.5935745701654,16,16,0.0443050065633168,0,0,-1.92792078844706,4.76550900520636e-16,-9.8320874011848e-16
26,26,16.6392937902911,16,16,0.0457192201256899,0,0,-1.90970718572103,1.49549426661788e-15,-2.33477347427302e-15
27,27,16.6863821046286,16,16,0.0470883143375473,0,0,-1.89848900687386,5.84637386787969e-16,-1.75185048217029e-15
28,28,16.7347930426968,16,16,0.0484109380681946,0,0,-1.88645679643658,-3.24361102755667e-16,-2.04941315654072e-16
29,29,16.7844788287445,16,16,0.0496857860476919,0,0,-1.86187990590529,-8.4749881537529e-16,-4.86935524453974e-16
30,30,16.8353904288995,16,16,0.0509116001549979,0,0,-1.81893101791451,-1.42564962385319e-15,9.94457337658017e-16
31,31,16.8874775995591,16,16,0.0520871706595828,0,0,-1.76100163662786,-1.47011038325456e-17,4.20331629745474e-16
32,32,16.9406889369744,16,16,0.0532113374152871,0,0,-1.68865571270596,-1.00421854534218e-15,9.50574254726666e-17
33,33,16.9949719279796,16,16,0.0542829910052451,0,0,-1.63844058546843,-1.45354241880627e-15,5.32980235466718e-16
34,34,17.0502730018164,16,16,0.0553010738367458,0,0,-1.61846939278516,-5.67203754667581e-16,2.27719048045277e-15
35,35,17.1065375830013,16,16,0.0562645811849493,0,0,-1.61282195731843,6.33390909166032e-16,-7.39236146254929e-16
36,36,17.1637101451857,16,16,0.0571725621844284,0,0,-1.58169204742107,3.01814779765652e-16,9.19132391724586e-16
37,37,17.2217342659533,16,16,0.0580241207675585,0,0,-1.51725409198231,-2.03772410186862e-16,1.00123360123605e-15
38,38,17.2805526825021,16,16,0.0588184165488281,0,0,-1.44637724113233,6.22223626789431e-16,2.26828647011124e-16
39,39,17.3401073481563,16,16,0.0595546656541974,0,0,-1.37381103812703,1.76940778110098e-15,3.04877650902924e-16
40,40,17.400339489651,16,16,0.060232141494688,0,0,-1.30737499479166,7.28411065189019e-16,-5.66604055340925e-16
41,41,17.4611896651345,16,16,0.0608501754834379,0,0,-1.24878222957871,5.99326632159253e-16,-8.3669236903422e-16
42,42,17.52259782283,16,16,0.0614081576955164,0,0,-1.19829802904097,2.97846599814355e-15,7.03525237198688e-16
43,43,17.5845033602998,16,16,0.0619055374698461,0,0,-1.1537058159891,6.95705429029636e-16,7.32202384660929e-16
44,44,17.6468451842525,16,16,0.0623418239526391,0,0,-1.10361905731438,3.14898050668942e-16,1.53197936378791e-15
45,45,17.7095617708343,16,16,0.0627165865818106,0,0,-1.05147421113413,-9.15452880601714e-16,6.82047869788108e-16
46,46,17.7725912263462,16,16,0.0630294555118911,0,0,-1.00188950409109,-2.14386241235726e-15,3.00540842212982e-16
47,47,17.8358713483252,16,16,0.0632801219790197,0,0,-0.940220955652877,3.00845774073993e-16,7.67547375483957e-17
48,48,17.8993396869308,16,16,0.0634683386056567,0,0,-0.847002425430917,1.97839113797935e-15,7.28068863878328e-16
49,49,17.9629336065756,16,16,0.0635939196447153,0,0,-0.742247714506629,-3.32897500798096e-16,-8.00195413402927e-16
50,50,18.0265903477384,16,16,0.0636567411628716,0,0,-0.686879311027227,-4.52451119105357e-17,-9.10607852143419e-16
51,51,18.0902470889013,16,16,0.0636567411628716,0,0,-0.648592033475511,4.57533316788883e-16,-1.21310025826687e-15
52,52,18.153841008546,16,16,0.0635939196447153,0,0,-0.597548620816401,5.94159731181002e-16,-8.10657964367412e-16
53,53,18.2173093471517,16,16,0.0634683386056567,0,0,-0.5265115333083,-4.87748676083338e-16,-1.06882005416337e-15
54,54,18.2805894691307,16,16,0.0632801219790197,0,0,-0.457059718674002,-9.23072788995213e-16,-4.08405405848133e-16
55,55,18.3436189246426,16,16,0.0630294555118911,0,0,-0.391577357506054,-2.02720056453193e-15,1.20446729846846e-15
56,56,18.4063355112244,16,16,0.0627165865818106,0,0,-0.324035917165728,-1.98949743398374e-15,9.37712906455557e-16
57,57,18.468677335177,16,16,0.0623418239526391,0,0,-0.263314457437772,-2.17622415314006e-15,9.05864467638795e-16
58,58,18.5305828726469,16,16,0.0619055374698461,0,0,-0.216910066235957,-1.6242534389959e-15,1.91032357033799e-15
59,59,18.5919910303424,16,16,0.0614081576955163,0,0,-0.173000852718822,-8.85139265485377e-16,-6.47986980913118e-16
60,60,18.6528412058258,16,16,0.0608501754834379,0,0,-0.121392129280405,-3.73154435682251e-16,-2.92275494713674e-16
61,61,18.7130733473205,16,16,0.060232141494688,0,0,-0.0698832601066558,-1.02667847097157e-15,-1.10081079451527e-15
62,62,18.7726280129747,16,16,0.0595546656541974,0,0,-0.0244889969654169,5.94151260851529e-16,-5.9071738928336e-16
63,63,18.8314464295235,16,16,0.0588184165488281,0,0,0.0305892967058684,1.46641731960453e-15,-1.70565330522704e-16
64,64,18.8894705502911,16,16,0.0580241207675585,0,0,0.108820607315546,1.24589059772098e-15,-1.14390105460799e-15
65,65,18.9466431124755,16,16,0.0571725621844284,0,0,0.188651117159471,1.02873845509929e-16,-1.30642973652714e-15
66,66,19.0029076936605,16,16,0.0562645811849493,0,0,0.248263581581214,2.16748954938797e-16,6.70579043682284e-16
67,67,19.0582087674972,16,16,0.0553010738367458,0,0,0.314483300992263,-2.13631873692902e-16,9.40199795188695e-16
68,68,19.1124917585025,16,16,0.0542829910052451,0,0,0.388778335259918,4.0393646001842e-16,-2.14035061375795e-16
69,69,19.1657030959178,16,16,0.0532113374152871,0,0,0.461689157991831,7.95614659224175e-16,-1.3753917709608e-15
70,70,19.2177902665773,16,16,0.0520871706595828,0,0,0.539252733774849,4.52346087019898e-16,1.50988027419405e-15
71,71,19.2687018667323,16,16,0.0509116001549979,0,0,0.607880272938868,1.20635787600673e-15,1.99251287127597e-15
72,72,19.31838765278,16,16,0.0496857860476919,0,0,0.677371879015414,2.22073742858417e-15,1.69077940667325e-15
73,73,19.3667985908482,16,16,0.0484109380681946,0,0,0.74526049180618,9.90743945217254e-16,1.30658559058944e-15
74,74,19.4138869051858,16,16,0.0470883143375473,0,0,0.81627620818076,1.69950384602997e-15,-4.7853973388079e-17
75,75,19.4596061253115,16,16,0.0457192201256899,0,0,0.8805095327996,8.77160215122241e-16,-2.46174879526412e-16
76,76,19.5039111318748,16,16,0.0443050065633168,0,0,0.941393111005888,9.48443119831374e-16,-1.22860434933342e-16
77,77,19.5467582011833,16,16,0.042847069308474,0,0,1.00439298422991,4.11356468636367e-16,6.01867731001016e-16
78,78,19.5881050483525,16,16,0.041346847169213,0,0,1.06698258765232,1.83772268236293e-17,1.25244324460094e-15
79,79,19.6279108690361,16,16,0.0398058206836615,0,0,1.12869844063146,-1.22648719048176e-15,5.00717174022275e-17
80,80,19.666136379695,16,16,0.0382255106589101,0,0,1.18583977078356,-2.27761865560761e-15,3.34588602077289e-16
81,81,19.7027438563652,16,16,0.0366074766701602,0,0,1.23956705520132,-3.0790206674439e-15,1.11098027208e-15
82,82,19.7376971718868,16,16,0.0349533155216111,0,0,1.28859108463695,-1.67532147890234e-15,7.84520221681038e-16
83,83,19.7709618315574,16,16,0.033264659670607,0,0,1.33298789249423,-2.24548180207231e-15,-8.7397706530646e-16
84,84,19.802505007174,16,16,0.0315431756165991,0,0,1.38148888998498,-1.04462879318978e-15,-1.44272580806983e-15
85,85,19.8322955694305,16,16,0.0297905622565114,0,0,1.42866824098265,-2.62381076202934e-15,-1.80483493411989e-15
86,86,19.8603041186387,16,16,0.0280085492081347,0,0,1.47313067461049,-1.37152845368837e-15,-3.12619447337533e-15
87,87,19.8865030137419,16,16,0.0261988951032026,0,0,1.51176652175943,2.87792149323857e-17,-1.08763689108662e-15
88,88,19.9108663995937,16,16,0.0243633858518347,0,0,1.54757764197615,7.71096020016479e-16,-3.09028535860944e-16
89,89,19.9333702324738,16,16,0.0225038328800582,0,0,1.57740133437642,7.1835085487448e-16,7.18021782574471e-16
90,90,19.9539923038159,16,16,0.0206220713421497,0,0,1.6093704007824,8.47623329218537e-16,-7.63316445912422e-16
91,91,19.9727122621255,16,16,0.0187199583095594,0,0,1.64760424040666,7.97692642802027e-16,-8.75848161086944e-16
92,92,19.9895116330637,16,16,0.0167993709382055,0,0,1.68858352255639,9.74238237690583e-16,-1.41504477135356e-15
93,93,20.0043738376796,16,16,0.0148622046159483,0,0,1.72964622132189,9.40686997952044e-16,-4.5513113135047e-16
94,94,20.0172842087717,16,16,0.0129103710920708,0,0,1.77070733158565,1.35062659222589e-15,-3.16515883598198e-16
95,95,20.0282300053623,16,16,0.0109457965906134,0,0,1.81031854086032,1.51275108061053e-15,-7.8491155090267e-17
96,96,20.0372004252717,16,16,0.00897041990942312,0,0,1.84839692110782,1.38588290928725e-15,2.46564514682149e-16
97,97,20.0441866157785,16,16,0.00698619050679416,0,0,1.88402141931515,1.89080750771678e-15,6.1647057901168e-16
98,98,20.0491816823561,16,16,0.004995066577588,0,0,1.91700123298952,1.99104877482664e-15,8.33426209989607e-16
99,99,20.0521806954768,16,16,0.00299901312073146,0,0,1.94713122103236,4.22161644428017e-16,1.45706607586685e-15
100,100,20.0531806954768,16,16,0.000999999999999995,0,0,1.97434541638147,-4.78140781362633e-16,2.21116256814841e-16
101,101,20.0521806954768,16,16,-0.00100000000000001,0,0,1.97434541638147,-4.78140781362633e-16,2.21116256814841e-16
